year,Linf,K,t0,M,M2
2006,23,0.5,-0.33,1.13,1.13
2006,25.8,0.267,-0.61,0.71,0.37
2006-2007,27.8,0.28,-0.57,0.7,0.7
2007,24.7,0.272,-0.61,0.73,0.39
2006-2008,29.28,0.167,-1.116,0.51,0.51
2006-2008,26.25,0.37,-0.49,0.88,0.88
2009,21.8,0.288,-0.59,0.78,0.43
2010,21.6,0.29,-0.59,0.79,0.47
2011,21,0.294,-0.59,0.79,0.42
2012,16.6,0.328,-0.56,0.92,0.51
2013,17,0.325,-0.56,0.91,0.48
2014,23.8,0.277,-0.6,0.75,0.45
2015,18,0.316,-0.57,0.89,0.45
2014-2015,23.5,0.48,-0.34,1.08,1.08
2016,20.2,0.299,-0.58,0.83,0.45
