,Mean,SD,,Lower,Upper,,
k[1],0.287024109,0.116111893,0.266451931,0.104121438,0.516227366,,7.720783979
k[2],0.29253148,0.117207105,0.271552886,0.107742771,0.525049349,,7.725417435
k[3],0.311607725,0.124478043,0.288707512,0.111789508,0.552988806,,7.931976844
k[4],0.312660417,0.125195457,0.289628832,0.115595419,0.559597652,,7.952103677
k[5],0.31734134,0.127157889,0.293893596,0.118021767,0.567597145,,7.978310626
k[6],0.357892982,0.148635575,0.329850261,0.130514582,0.649448561,,8.501651906
k[7],0.352966415,0.145769006,0.324451191,0.12821223,0.637343765,,8.788756149
k[8],0.298312961,0.119601233,0.27649159,0.107766292,0.532026037,,7.892236795
k[9],0.342692608,0.13922185,0.316598737,0.121721694,0.614776095,,8.241937807
k[10],0.323417516,0.129280767,0.298704058,0.120410963,0.577757561,,8.273559511
k[11],0.320271687,0.129317309,0.296328449,0.11767601,0.571990132,,8.079966024
k0,0.314525978,0.116164406,0.294165355,0.126562964,0.540663835,,
phy[1],2.15695436,0.169145774,2.153295,1.82711013,2.48688488,,
phy[2],2.14723418,0.167196601,2.1439566,1.82690678,2.47974093,,
phy[3],2.12118092,0.165605483,2.1189259,1.80091466,2.44830464,,
phy[4],2.1185765,0.166332521,2.11583041,1.79309728,2.43987436,,
phy[5],2.11307232,0.165947165,2.11146243,1.78719514,2.43275985,,
phy[6],2.06246601,0.169479994,2.06281603,1.72981922,2.39333145,,
phy[7],2.06729659,0.168429697,2.06711584,1.74194936,2.40036442,,
phy[8],2.13977951,0.167244741,2.13686543,1.81398298,2.46746158,,
phy[9],2.07967574,0.16716797,2.07911207,1.74788997,2.40097073,,
phy[10],2.10485766,0.165244665,2.10227138,1.77556273,2.42101577,,
phy[11],2.10861499,0.16629303,2.1068656,1.76987875,2.41803619,,
phys,2.11219612,0.154013722,2.10973913,1.81142842,2.40854026,,
sigma,0.050090028,0.029093041,0.050139067,1.95E-06,0.098802067,,
sigma2,0.069785056,0.040677262,0.069443667,3.16E-05,0.138388949,,
sigma3,49.9322407,28.8733465,49.8475133,0.936066779,95.8732114,,
