group,Mean,SD,Median,Lower,Upper,Mean2,SD2,Median2,Lower2,Upper2,,,,,,
1999,25.9970425,0.75143192,25.9952984,24.4643536,27.4895268,0.25262788,0.110055694,0.241501928,0.054628901,0.46613358,,,,,,
2006,25.4192409,0.625902472,25.4049372,24.2258838,26.6745385,0.266768423,0.107636948,0.255074492,0.074431328,0.477658219,-2.222566663,5.372551913,2.4486547,4.58451604,2,
2007,25.6711164,0.542300459,25.6630877,24.6256321,26.7599608,0.266547328,0.095893593,0.258973183,0.092388164,0.458262061,0.990885216,1.461451455,2.1343287,2.924683132,2,
2008,26.0861766,0.518007562,26.0876816,25.0677877,27.1044112,0.26735524,0.086628859,0.262401593,0.103641123,0.437212623,1.616837357,1.286229363,2.0366235,1.887811329,2,
2009,25.7789719,0.537806162,25.7741162,24.7405434,26.8551174,0.267024517,0.081793567,0.263525717,0.109016393,0.425499788,-1.177653225,0.420460807,2.114574,1.327688257,1,
2010,25.5490271,0.54984633,25.5417253,24.4609188,26.6273764,0.26755394,0.077638003,0.264760313,0.118343011,0.420840973,-0.891985921,0.462353051,2.1664576,1.055153232,1,
2011,25.3472512,0.565097435,25.3369358,24.2368701,26.4538191,0.268082389,0.074324355,0.266000389,0.122831302,0.413613011,-0.789759623,0.463486353,2.216949,0.782705622,1,
2012,25.2087998,0.627404998,25.1988964,24.0011462,26.461246,0.269284815,0.070270673,0.267806648,0.133664806,0.407843858,-0.546218597,0.673770107,2.4600998,0.551953064,1,
2013,25.0950942,0.657199148,25.0843861,23.8397335,26.4127667,0.270470114,0.067180526,0.269534047,0.137885086,0.40236603,-0.451055191,0.641476572,2.5730332,0.347290819,1,
2014,25.0171147,0.64070542,25.0056114,23.7975082,26.3112744,0.271807933,0.063794798,0.271124551,0.148147958,0.398151767,-0.310736032,0.588051662,2.5137662,0.252054636,1,
2015,24.8265979,0.642801625,24.813937,23.573454,26.084641,0.285222134,0.059859762,0.284788227,0.167676572,0.404600513,-0.761545855,5.026959975,2.511187,0.152361284,2,
2016,24.7081054,0.642807014,24.6933613,23.4552349,25.9685529,0.285676537,0.056909136,0.285821546,0.174642696,0.398803504,-0.477280457,0.362285698,2.513318,-0.050734104,1,
2018,24.5966699,0.637161848,24.5790749,23.3653303,25.8549684,0.286825959,0.054356081,0.287060215,0.179255661,0.39388727,-0.45100787,0.433591436,2.4896381,-0.081605178,1,12.5397576
