year,group,amm,b,score,type,a
1961,1999,2.99E-05,3.072,0.934,SL,3.53E-02
1962,1999,2.99E-05,3.072,0.933,SL,3.53E-02
1997,1999,3.05E-05,3.054,0.977,SL,3.45E-02
1998-1999,1999,3.06E-05,3.059,0.967,SL,3.51E-02
2006,2006,0.0000389,3.007,0.949,SL,3.95E-02
2006,2006,5.22E-05,2.9462,0.9923,SL,4.61E-02
2006-2007,2007,4.32E-02,2.972,0.973,SL,4.32E-02
2006-2008,2008,6.00E-05,2.9451,0.9869,SL,5.29E-02
2006-2008,2008,0.000039072,3.0308,0.9557,SL,0.041943594
2014-2015,2015,0.0000392,3.012,0.935,SL,0.040298239
