author,year,group,method,Linf,k,t0,M,M2,,,1,27,0.43,,,,
陈作志,1961,1999,频率,27,0.43,-0.37,0.95,0.95,1961,,6,20.64219409,0.2313,,,,
张魁,1962,1999,频率,27.6,0.35,-0.45,0.82,0.82,1962,,6,25.8,0.25,,,,
袁蔚文,1992-1993,1999,频率,23.6,0.46,-0.62,0.99,0.99,1993,,6,25.9,0.36,,,,
张魁,1998,1999,频率,25.9,0.36,-0.45,0.88,0.88,1999,,8,23,0.5,,,,
陈作志,1999,1999,频率,25.8,0.25,-0.66,0.7,0.7,1997-2000,,7,22.65400844,0.2216,,,,
张魁,2006,2006,频率,23,0.5,-0.33,1.13,1.13,,,8,25.8,0.234942254,,,,
王雪辉,2006,2006,频率,25.8,0.267,-0.61,0.71,0.37,,,9,27.8,0.28,,,,
王雪辉,2067,2067,频率,27.8,0.28,-0.57,0.7,0.7,,,9,24.7,0.24,,,,
王雪辉,2007,2007,频率,24.7,0.272,-0.61,0.73,0.39,,,10,29.28,0.167,,,,
侯刚,2068,2068,耳石,29.28,0.167,-1.116,0.51,0.51,,,10,26.25,0.37,1999,27.21,,
颜,2068,2068,频率,26.25,0.37,-0.49,0.88,0.88,,,11,21.8,0.27,2007,24.1,,
王雪辉,2009,2009,频率,21.8,0.288,-0.59,0.78,0.43,,,11,25.72,0.49,2006,26.93,,
王雪辉,2010,2010,频率,21.6,0.29,-0.59,0.79,0.47,,,12,26.94,0.22,2007,26.17965219,,
王雪辉,2011,2011,频率,21,0.294,-0.59,0.79,0.42,,,14,16.6,0.36,2010,26.20355472,,
王雪辉,2012,2012,频率,16.6,0.328,-0.56,0.92,0.51,,,14,23.8,0.24,2011,25.24410625,,
王雪辉,2013,2013,频率,17,0.325,-0.56,0.91,0.48,,,16,23.8,0.25,2013,26.19798097,,
王雪辉,2014,2014,频率,23.8,0.277,-0.6,0.75,0.45,,,16,23.65,0.28,2014,26.42736005,,
王雪辉,2015,2015,频率,18,0.316,-0.57,0.89,0.45,,,17,23.5,0.48,2015,26.74004504,,
张魁,2045,2045,频率,23.5,0.48,-0.34,1.08,1.08,,,18,20.2,0.3,2016,26.35091928,,
王雪辉,2016,2016,频率,20.2,0.299,-0.58,0.83,0.45,,,19,20.6,0.29,2018,26.03338299,,
王雪辉,2018,2018,频率,20.6,0.296,-0.59,0.81,0.44,,,,,,,,,
